team,total_points,gk_points,def_points,mid_points,fwd_points,goals_scored,assists,clean_sheets,yellow_cards,red_cards,goals_conceded,own_goals,penalties_missed,penalties_saved,saves,bonus_points,value_latest_gw
Arsenal,2203,155,739,1153,156,85,81,212,62,2,319,1,0,1,55,182,1991
Man City,2071,134,660,902,375,94,82,150,51,2,374,1,1,0,77,205,1758
Liverpool,1907,141,616,911,239,80,78,114,65,5,451,2,3,0,111,160,2205
Newcastle,1784,133,553,855,243,83,68,116,76,1,682,1,1,1,135,132,2132
Chelsea,1690,129,482,880,199,76,67,98,105,4,693,3,1,1,128,145,2815
Aston Villa,1682,132,463,809,278,72,70,89,94,2,671,4,0,1,116,145,2102
Spurs,1666,112,486,1005,63,69,66,87,88,4,671,3,0,0,110,147,2198
Crystal Palace,1586,117,533,692,244,56,49,120,69,2,638,3,0,0,99,124,1775
Fulham,1586,132,456,795,203,54,48,122,78,4,671,4,0,0,134,115,1761
Man Utd,1569,133,455,841,140,57,46,101,80,1,638,1,1,0,149,115,2288
Brentford,1516,123,458,674,261,54,50,101,89,2,715,0,0,0,121,103,2027
Bournemouth,1497,131,422,608,336,52,46,109,79,3,737,1,1,1,131,112,1890
Everton,1488,153,537,627,171,40,25,148,80,1,561,3,1,0,121,112,1584
West Ham,1436,140,368,809,119,58,47,60,76,3,814,4,1,2,171,115,1642
Brighton,1430,110,359,707,254,50,47,81,89,3,682,2,1,0,108,119,2191
Nott'm Forest,1363,87,390,659,227,49,46,53,78,3,737,2,0,0,102,98,2539
Wolves,1359,125,457,598,179,47,44,64,98,4,715,1,0,0,142,93,2099
Luton,1260,87,346,431,396,49,47,27,71,0,935,4,0,0,146,83,2157
Burnley,1206,117,299,537,253,40,35,34,71,7,858,3,0,1,170,78,1985
Sheffield Utd,972,85,219,470,198,31,29,17,95,5,1144,7,0,0,170,49,1997
