Pos,Team,Points,Actual Pos,Difference,GK Points,DEF Points,MID Points,FWD Points,Goals Scored,Assists,Clean Sheets,Yellow Cards,Red Cards,Goals Conceded,Own Goals,Penalties Missed,Penalties Saved,Saves,Bonus Points
1,Man City,2051,1, ,144,579,953,375,92,85,144,44,1,363,1,1,0,60,195
2,Arsenal,2035,2, ,143,636,1068,188,84,75,154,51,0,473,1,1,0,94,179
3,Newcastle,1916,4,⬆️ +1,168,647,810,291,64,57,165,61,1,363,2,0,2,97,172
4,Liverpool,1854,5,⬆️ +1,164,608,798,284,71,66,142,57,1,517,2,2,1,113,144
5,Man Utd,1836,3,⬇️ -2,161,609,956,110,56,50,192,78,2,473,1,0,1,101,153
6,Brighton,1771,6, ,147,486,873,265,67,63,137,59,0,583,6,0,2,85,149
7,Brentford,1730,9,⬆️ +2,166,590,638,336,56,50,131,55,1,506,3,1,0,154,132
8,Spurs,1682,8, ,129,669,567,317,68,58,115,75,3,693,1,1,1,111,134
9,Aston Villa,1634,7,⬇️ -2,145,528,712,249,49,45,137,80,1,506,4,1,1,109,143
10,Fulham,1550,10, ,149,430,785,186,52,46,100,80,1,583,2,4,1,146,112
11,Chelsea,1472,12,⬆️ +1,142,504,631,195,37,33,107,77,3,517,3,0,0,116,114
12,West Ham,1470,14,⬆️ +2,134,473,695,168,41,38,96,44,0,605,1,2,1,118,105
13,Crystal Palace,1425,11,⬇️ -2,138,411,753,123,38,31,105,78,3,539,3,2,0,116,93
14,Leicester,1409,18,⬆️ +4,120,409,646,234,49,46,80,59,2,748,5,3,1,115,79
15,Wolves,1376,13,⬇️ -2,154,463,657,102,28,22,126,83,6,638,1,0,2,119,104
16,Everton,1351,17,⬆️ +1,133,460,651,107,32,29,101,79,2,627,0,0,1,128,100
17,Nott'm Forest,1340,16,⬇️ -1,133,420,481,306,36,32,90,84,0,748,0,3,2,115,100
18,Bournemouth,1327,15,⬇️ -3,121,381,620,205,37,29,87,68,0,781,3,0,0,136,93
19,Leeds,1275,19, ,97,334,651,193,45,42,56,84,3,858,2,2,0,110,72
20,Southampton,1220,20, ,92,306,626,196,36,30,46,73,0,803,5,2,1,83,64
